match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_points_won,p2_points_won,p1_ace,p2_ace,p1_winner,p2_winner,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,winner_shot_type_0,winner_shot_type_B,winner_shot_type_F,server_1,server_2,serve_no_1,serve_no_2,point_victor_1,point_victor_2,game_victor_0,game_victor_1,game_victor_2,set_victor_0,set_victor_1,set_victor_2,p1_score_encoded,p2_score_encoded,score_diff,p1_run,p2_run,p1_game_run,p2_game_run,is_break_point,is_set_point,is_match_point,server_advantage,server_dominance,p1_cumulative_distance,p2_cumulative_distance,set_diff,game_diff,match_stage,elapsed_time_seconds,cumulative_dist_diff
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:00,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0,7.84,2,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0.44,6.0,7.84,0,0,early,0,-1.8399999999999999
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:38,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.253,7.094,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0.0,1.0,-1.0,1,0,1,0,0,0,0,0,0.44,11.253,14.934,0,0,early,38,-3.680999999999999
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:01,1,1,3,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.8,19.808,4,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1.0,1.0,0.0,0,1,0,1,0,0,0,0,0.44,25.053,34.742000000000004,0,0,early,61,-9.689000000000004
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:31,1,1,4,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.108,75.631,13,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1.0,2.0,-1.0,1,0,1,0,0,0,0,0,0.44,76.161,110.373,0,0,early,91,-34.212
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:21,1,1,5,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649,0.813,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,2.0,2.0,0.0,2,0,2,0,0,0,0,0,0.44,76.80999999999999,111.186,0,0,early,141,-34.37600000000002
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:50,1,1,6,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291,4.249,2,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,3.0,2.0,1.0,0,1,0,1,0,0,0,1,0.44,82.101,115.435,0,0,early,170,-33.334
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:03:33,1,1,7,0,0,0,0,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.817,17.821,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,3.0,3.0,0.0,1,0,1,0,0,0,0,0,0.44,88.91799999999999,133.256,0,0,early,213,-44.33800000000001
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:01,1,1,8,0,0,0,0,4,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.503,18.067,6,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,4.0,3.0,1.0,0,1,0,1,0,0,0,1,0.44,106.421,151.323,0,0,early,241,-44.902
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:48,1,1,9,0,0,0,0,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34.489,24.594,7,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,3.0,3.0,0.0,1,0,1,0,0,0,0,0,0.44,140.91,175.917,0,0,early,288,-35.007000000000005
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:05:32,1,1,10,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.235,27.427,5,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,4.0,3.0,1.0,2,0,2,0,0,0,0,1,0.44,162.14499999999998,203.344,0,0,early,332,-41.19900000000001
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:05,1,2,11,0,0,1,0,6,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.785,4.915,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0.6176470588235294,167.93,208.259,0,1,early,425,-40.32899999999998
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:28,1,2,12,0,0,1,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.744,18.244,4,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0.0,1.0,-1.0,1,0,1,0,0,0,0,0,0.6176470588235294,187.674,226.503,0,1,early,448,-38.82899999999998
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:08:06,1,2,13,0,0,1,0,8,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.013,18.626,4,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1.0,1.0,0.0,2,0,2,0,0,0,0,0,0.6176470588235294,213.687,245.129,0,1,early,486,-31.44199999999998
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:08:41,1,2,14,0,0,1,0,8,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.667,7.112,3,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,2.0,1.0,1.0,0,1,0,1,0,0,0,0,0.6176470588235294,224.354,252.241,0,1,early,521,-27.887
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:09:11,1,2,15,0,0,1,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.399,2.237,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,2.0,2.0,0.0,0,2,0,2,0,0,0,0,0.6176470588235294,227.753,254.478,0,1,early,551,-26.725000000000023
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:09:37,1,2,16,0,0,1,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,4.307,2,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,2.0,3.0,-1.0,1,0,1,0,0,0,0,1,0.6176470588235294,233.053,258.785,0,1,early,577,-25.732000000000028
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:10:20,1,2,17,0,0,1,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.245,5.499,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,3.0,3.0,0.0,0,1,0,1,0,0,0,0,0.6176470588235294,238.298,264.284,0,1,early,620,-25.98599999999999
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:10:45,1,2,18,0,0,1,0,9,9,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15.194,16.594,3,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,3.0,4.0,-1.0,0,2,0,2,0,0,0,1,0.6176470588235294,253.492,280.878,0,1,early,645,-27.385999999999996
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:11:24,1,3,19,0,0,1,1,10,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899,1.073,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0.4848484848484848,254.391,281.951,0,0,early,684,-27.56000000000003
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:11:47,1,3,20,0,0,1,1,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.088,34.756,5,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1.0,0.0,1.0,2,0,2,0,0,0,0,0,0.4848484848484848,272.479,316.707,0,0,early,707,-44.22800000000001
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:12:17,1,3,21,0,0,1,1,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.288,10.818,2,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,2.0,0.0,2.0,0,1,0,1,0,0,0,0,0.4848484848484848,279.767,327.52500000000003,0,0,early,737,-47.75800000000004
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:12:44,1,3,22,0,0,1,1,12,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.166,32.944,9,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,2.0,1.0,1.0,1,0,1,0,0,0,0,0,0.4848484848484848,321.933,360.469,0,0,early,764,-38.536
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:13:26,1,3,23,0,0,1,1,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.782,4.479,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,3.0,1.0,2.0,2,0,2,0,0,0,0,0,0.4848484848484848,325.715,364.948,0,0,early,806,-39.233000000000004
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:15:31,1,4,24,0,0,2,1,13,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.601,13.713,3,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0.44,338.316,378.661,0,1,early,931,-40.34500000000003
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:16:15,1,4,25,0,0,2,1,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.925,13.976,3,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0.0,1.0,-1.0,0,2,0,2,0,0,0,0,0.44,353.241,392.637,0,1,early,975,-39.396000000000015
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:16:47,1,4,26,0,0,2,1,13,13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903,1.067,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0.0,2.0,-2.0,0,3,0,3,0,0,0,0,0.44,354.144,393.704,0,1,early,1007,-39.56
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:17:08,1,4,27,0,0,2,1,13,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.027,7.402,3,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0.0,3.0,-3.0,0,4,0,4,0,0,0,0,0.44,374.171,401.106,0,1,early,1028,-26.935000000000002
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:17:49,1,5,28,0,0,2,2,14,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.352,29.366,5,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0.5161290322580645,389.523,430.472,0,0,early,1069,-40.948999999999955
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:18:25,1,5,29,0,0,2,2,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.285,8.276,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1.0,0.0,1.0,2,0,2,0,0,0,0,0,0.5161290322580645,393.808,438.748,0,0,early,1105,-44.94
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:18:50,1,5,30,0,0,2,2,16,14,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11.974,12.523,3,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,2.0,0.0,2.0,3,0,3,0,0,0,0,0,0.5161290322580645,405.782,451.271,0,0,early,1130,-45.48900000000003
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:19:20,1,5,31,0,0,2,2,16,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.609,6.965,2,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,3.0,0.0,3.0,0,1,0,1,0,0,0,0,0.5161290322580645,411.391,458.236,0,0,early,1160,-46.84499999999997
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:20:03,1,5,32,0,0,2,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.518,12.74,2,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,3.0,1.0,2.0,0,2,0,2,0,0,0,0,0.5161290322580645,419.909,470.976,0,0,early,1203,-51.06700000000001
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:20:55,1,5,33,0,0,2,2,16,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.859,11.439,2,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,3.0,2.0,1.0,0,3,0,3,0,0,0,1,0.5161290322580645,428.768,482.415,0,0,early,1255,-53.64700000000005
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:21:27,1,5,34,0,0,2,2,17,17,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,30.782,25.6,5,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,3.0,3.0,0.0,1,0,1,0,0,0,0,0,0.5161290322580645,459.55,508.015,0,0,early,1287,-48.464999999999975
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:22:19,1,5,35,0,0,2,2,18,17,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6.824,9.574,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,4.0,3.0,1.0,2,0,2,0,0,0,0,1,0.5161290322580645,466.374,517.589,0,0,early,1339,-51.21500000000003
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:24:22,1,6,36,0,0,3,2,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.809,6.11,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0.5,474.183,523.699,0,1,early,1462,-49.51599999999996
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:24:53,1,6,37,0,0,3,2,19,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29.094,29.593,6,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0.0,1.0,-1.0,1,0,1,0,0,0,0,0,0.5,503.277,553.292,0,1,early,1493,-50.01500000000004
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:26:05,1,6,38,0,0,3,2,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.815,5.189,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1.0,1.0,0.0,0,1,0,1,0,0,0,0,0.5,510.092,558.481,0,1,early,1565,-48.38900000000001
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:26:30,1,6,39,0,0,3,2,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.678,2.617,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1.0,2.0,-1.0,0,2,0,2,0,0,0,0,0.5,512.77,561.098,0,1,early,1590,-48.327999999999975
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:26:56,1,6,40,0,0,3,2,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.043,4.667,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1.0,3.0,-2.0,0,3,0,3,0,0,0,0,0.5,517.813,565.765,0,1,early,1616,-47.952
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:27:42,1,7,41,0,0,3,3,20,21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34.233,32.677,9,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0.7037037037037037,552.046,598.442,0,0,early,1662,-46.39599999999996
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:28:37,1,7,42,0,0,3,3,21,21,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9.872,19.138,3,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1.0,0.0,1.0,2,0,2,0,0,0,0,0,0.7037037037037037,561.918,617.58,0,0,early,1717,-55.662000000000035
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:29:06,1,7,43,0,0,3,3,22,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.277,11.043,3,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,2.0,0.0,2.0,3,0,3,0,0,0,0,0,0.7037037037037037,568.1949999999999,628.623,0,0,early,1746,-60.42800000000011
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:29:32,1,7,44,0,0,3,3,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.076,18.664,6,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,3.0,0.0,3.0,0,1,0,1,0,0,0,0,0.7037037037037037,586.271,647.287,0,0,early,1772,-61.016000000000076
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:30:17,1,7,45,0,0,3,3,23,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.727,25.324,5,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,3.0,1.0,2.0,1,0,1,0,0,0,0,0,0.7037037037037037,617.998,672.611,0,0,early,1817,-54.61299999999994
